m_n_ratio,num_vars,num_clauses,sat_probability,median_backtracks,mean_time_sec
3.0,20,60,1.0,1.0,0.0013463830947875977
3.1,20,62,1.0,1.0,0.0006413888931274414
3.2,20,64,1.0,1.0,0.0007585382461547851
3.3,20,66,1.0,2.0,0.0007199335098266601
3.4,20,68,0.96,1.0,0.001136655807495117
3.5,20,70,1.0,1.0,0.0006359577178955078
3.6,20,72,0.94,2.0,0.0010017919540405273
3.7,20,74,0.92,3.5,0.0015209770202636718
3.8,20,76,0.9,2.0,0.0010126876831054689
3.9,20,78,0.88,4.0,0.0018875932693481446
4.0,20,80,0.9,6.0,0.0037079095840454102
4.1,20,82,0.8,3.0,0.0010640764236450196
4.2,20,84,0.6,9.5,0.0034837865829467772
4.3,20,86,0.76,6.5,0.002063541412353516
4.4,20,88,0.46,13.0,0.002943263053894043
4.5,20,90,0.56,10.5,0.0029642248153686525
4.6,20,92,0.64,9.0,0.003122868537902832
4.7,20,94,0.48,10.5,0.0025097990036010744
4.8,20,96,0.3,11.5,0.0020487451553344725
4.9,20,98,0.36,13.5,0.0034119224548339842
5.0,20,100,0.24,12.0,0.002989702224731445
5.1,20,102,0.18,14.0,0.0034804630279541018
5.2,20,104,0.28,13.0,0.0034668827056884765
5.300000000000001,20,106,0.12,12.5,0.00384429931640625
5.4,20,108,0.16,11.0,0.003622426986694336
5.5,20,110,0.16,11.5,0.00638524055480957
